40,J02459.1,V01146.1,X51522.1,AF063097.1,AF064539.1,U32222.1,U02303.1,AF125520.1,AP000363.1,AF083977.1,AF069308.1,AF069529.1,AF335538.1,AJ298298.1,AP004402.1,AF527608.1,AY055382.1,BK000583.1,AF158101.6,AP005153.1,AP005154.1,AF503408.1,AF547987.1,AY135486.1,AB102868.1,AJ556162.1,AY736146.1,DQ904452.1,AB255436.1,AB285204.1,CP000711.1,DQ126339.2,EU311208.1,AB362338.2,AB426868.1,AM491472.1,EU734174.1,EU570103.1,EU078592.1,FJ184280.1,FJ188381.1,FM180578.1,FJ230960.1,FJ000341.1,FJ839692.1,FJ839693.1,GQ357916.1,GU071091.1,GU169904.1,GU573886.1,AP011113.1,HM137666.1,FR667955.1,HM208303.1,HM173637.1,HM770079.1,HM208537.1,HQ110083.1,HQ110084.1,HM035025.1,JN202312.1,HM997020.1,JF314845.1,JF912400.1,JF461087.1,JF719729.1,JF719730.1,JF719731.1,JF719732.1,JF719734.1,JN600960.1,JF974339.1,JN627160.1,JQ011317.1,JQ011318.1,JF900176.1,JN391180.1,JQ288021.1,JQ177065.1,JQ086377.1,JQ086374.1,JQ086372.1,JQ086369.1,JQ086376.1,JQ691610.1,JN986846.1,JQ086370.1,JQ086371.1,JQ086373.1,JQ806763.1,JQ806764.1,JQ182726.1,JQ182727.1,JQ182728.1,JQ182730.1,JQ182731.1,JQ182732.1,JQ182733.1,JQ182734.1,JX128259.1,HE956711.1,JX434033.1,JX509734.1,JX536493.1,JX181825.1,JX880034.1,JX871397.1,JX872508.1,JX000007.1,JQ957925.1,KC139521.1,KC618326.1,KC736978.1,KF208315.1,KF030445.1,KC911856.1,KC911857.1,KF322032.1,KC814930.1,AP013552.1,AP013553.1,AP013556.1,AP013557.1,AP013558.1,AP013561.1,AP013562.1,AP013564.1,KF971864.1,KF925357.1,KJ419279.1,KF562341.1,KJ477684.1,KJ477685.1,KJ477686.1,KJ603229.1,KJ909655.1,KM190144.1,KJ832078.1,KM242061.1,KM360178.1,KM407600.1,LK985321.1,LK985322.1,KM501444.1,KJ668714.2,KM606994.1,KM606995.1,KM606996.1,KM606997.1,KM606998.1,KM606999.1,KM607000.1,KM607001.1,KM607002.1,KM607003.1,KM607004.1,KM657822.1,KM236242.1,KP010268.1,KP063541.1,KP797973.1,KP719132.1,KP719134.1,KR014248.1,KP869101.1,KP869104.1,KP869108.1,KP869109.1,KJ000058.2,KF766125.2,KF582788.2,JQ067084.3,Pathogen
AE005174.2,0.283969214,0,0,0,0,0,0.02875817,1,0.80031607,0,0.018692277,0.068903837,0.01793089,0.006182998,0.969624261,0.005901403,0,0.005901403,0.000586392,0.766415284,0.826331787,0.003326084,0.037098759,0,0.011142871,0.499493591,0.005725272,0.000699773,0.379524577,0.210497167,0.014745141,0.003148598,0.859890415,0.005910478,0.005910478,0,0,0.010984919,0.288159306,0.474798923,0.412117489,0.467237267,0,0.00933164,0.000737784,0.000724724,0,0,0,0.007903688,0.000567517,0.00074032,0,0.747683177,0.014472175,0,0.000605608,0.000139247,0.00030494,0.000663178,0.000732953,0.000733239,0.001898477,0,0,0.000181455,0.000362647,0,0.000157505,0.00031407,0.031464646,0.031464646,2.11E-05,0.005810705,0.508326962,0.007283794,0,0.00114322,0,0.015208851,0.040357962,0.022186883,0.062782109,0.24577586,0,0.000693208,0.043421603,0.000419176,0.027694284,0.012731481,0.019041794,0.013145661,0.012906954,0.234399946,0.000902201,0.014671424,0.049014897,0.031060417,0.012841543,0.000713669,0.000696153,2.75E-05,0.142346806,0,0,0,0.00060723,0,0,0,0.000269333,0.003948255,0.015107636,0.000637892,0.1737908,0,0,0.000238173,0.021903875,5.61E-05,8.63E-05,2.95E-05,5.88E-05,8.40E-05,5.05E-05,2.62E-05,2.42E-05,0.039821552,0.000419317,0,0.000316855,0.000740311,0.000749661,0.000754877,0.17897156,0.767020561,0,0.035113557,0,0,0.000230743,3.13E-05,1.85E-05,0.000739623,0.000706701,0.000326675,0.000326691,0.000326691,0.000326689,0.000326689,0.000326677,0.000720644,0.000699617,0.000444255,0.000740197,0.000724694,0,0,0,0.122965945,0,0,0,0,0,9.36E-05,0.006418781,0,0,0.361759485,0,0,1
AE014075.1,0.135443534,0,0,0,0,0,0,0.049043473,0.043327956,0,0.009137355,0.017962865,0.013225992,0.000587737,0.048754611,0.003934269,0,0.003934269,0.00054493,0.046623094,0.058086706,0,0.019049328,0,0.011142871,0.081042853,0.004486221,0.0005007,0.031362647,0.031397776,0,0,0.034415945,0.003940319,0.003940319,0,0,0.008680879,0.146318146,0.05743757,0.090218393,0.070769609,0,0.009111784,0.00053822,0.000528692,0,0,0,0.004820515,0.000531673,0.000544875,0,0.037537746,0.00742723,0.043647998,0.002402245,0,0.000271058,0.000536571,0.000534695,0.000534904,0,0,0,0,0,0,0,0,0.015075758,0.015075758,2.11E-05,0.00236898,0.004421102,0.01242236,0,0.001016196,0,0.004338499,0.016801276,0.010593275,0.01624466,0.103951032,0,0.000496002,0.056649701,0,0.009659602,0.003396739,0.013720693,0.013997934,0.008837411,0.0381597,0.001308192,0.005112366,0.015351931,0.009224966,0.014833388,0.000515761,0.00049811,0,0.077940026,0,0,0,0.002146993,0,0,0,0.000269333,0.002953167,0.000217202,0.000512698,0.036149163,0,0,0.000238173,0.000226592,0,0,0,0,0,0,0,0,0,0.000293522,0,0.000119568,0.000544869,0.000551751,0.000555589,0.00647962,0.046192219,0,0.022892282,0,0,0.000130163,0,0,0.000539561,0.000510725,0.000291038,0.000291052,0.000291052,0.00029105,0.00029105,0.00029104,0.000538969,0.000500588,0.000248783,0.000544785,0.00052867,0,0,0,0,0,0,0,0,0,8.11E-05,0.001227496,0,0,0.008679072,0,0,1
AM946981.2,0.741637951,0.066822536,0,0,0,0,0.024836601,0.045057261,0.030092516,0,0.024857536,0.040082634,0.022060745,0,0.045163712,0.004222142,0,0.004222142,0.000586392,0.039634657,0.037833947,0.000137767,0.021613168,0,0.004554043,0.04423218,0.003097629,0.000784229,0.025515374,0.024368423,0,0,0.032700707,0.004204608,0.004228635,0,0.009542034,0.015686092,1,0.031274619,0.036775998,0.035972359,0,0.016464725,0.000822448,0.000807889,0,0.066886434,0,0.00132136,0.00057349,0.000823235,0.00018272,0.033511506,0.020179127,0.020224257,0.000100935,0.000348117,0.00030494,0.000663178,0.000817062,0.000817381,0,0,0,0,0,0,0,0,0.031186869,0.031186869,2.11E-05,0,0.007429445,0.004564843,0,0,0,0.016148859,0.031059926,0.027598943,0.052982211,0.71314106,0,0.000776871,0.0558629,0.00011031,0.018625562,0.008680556,0.005280326,0.026368802,0.02607879,0.031121405,0.001285637,0.062067313,0.033435342,0.028833701,0.022847636,0.00079763,0.000780172,0,0.078904824,0,0,0,0.00047711,0.000207933,0.009188361,0.009146097,0.000269333,0.003755658,0.002365093,0.000637892,0,0,0,0.000238173,0.02041844,0,0,0,0,0,0,0,0,0,0.000419317,0,0.000400552,0.000823226,0.000833623,0.000839423,0.003367487,0.038808027,0,0.028576596,0.009027366,0,0.000313574,0,0,0.000824497,0.000789843,0.000332615,0.00033263,0.00033263,0.000332628,0.000332628,0.000332617,0.000720644,0.000784054,0.000527182,0.000823099,0.000807855,0,0,0,0,0,0,0,0,0,9.36E-05,0.000153437,0,0,0.009616017,0,0,0
AP009048.1,0.049522316,0,0,0,0,0,0.024836601,0.010553659,0.002304678,0,0,0.001133701,0.000209107,0.000893361,0.011180753,0.000167926,0.007080529,0.000167926,0.000580469,0.007843137,0.007486802,0,0,0,0.000605591,0.010704432,0.000149541,0.000542927,0.007840662,0.013824394,0.010603528,0,0.008242675,0.000168184,0.000168184,0,0,0,0.055612554,0.005734596,0.004429285,0.006050933,0,0,0.000580552,0.000570274,0,0,0,0.000269166,0.000812445,0.000586333,0,0.008035125,0.000245754,0,0,0.000278493,0.00030494,0.000572745,0.00057675,0.000576975,0,0,0,0,0,0,0,0,0,0,2.11E-05,0,0.006099791,0.000424056,0,0,0,0,0,0.000230846,0.001689638,0.051029734,0,0.000537834,0.001376902,0.00011031,0.000231214,0.001258052,0.000163099,0.000232438,0,0.010096467,0.001420967,0.000159761,0,0.000204494,0.000210901,0.000557741,0.000540119,0,0.0463103,0,0.000132867,0,6.51E-05,0,0,0,0,0.002439572,0.042282074,0.000548468,0.028200575,0,0,0,0.077066391,0,0,0,0,0,0,0,0,3.29E-05,0.000329464,1.76E-05,0.000161417,0.000586326,0.000593732,0.000597862,0.001037378,0.007679559,0,0,0,0,0.000136079,0,0,0.000581998,0.000552296,0.000570197,0.000570224,0.000570224,0.00057022,0.00057022,0.0005702,0.000575304,0.000542806,0.000290247,0.000586236,0.000570251,0,0,0,0,0,0,0,0,0,0.000243262,0,0,0.000131404,0.006640805,0,0,0
AP009240.1,0.241235582,0,0,0.00032783,0,0,0.025430778,0.023247456,0.016083364,0.002699166,0.000147377,0.001032928,0.001568299,0,0.023373486,0.000167926,0,0.000167926,0.000586392,0.0179152,0.017101264,0,0,0,0.000169565,0.034767576,0.000192267,0.000784229,0.015531819,0.042474332,0,0,0.015421266,0.000168184,0.000168184,0,0,0.000162912,0.270810987,0.022187208,0.022631383,0.029710958,0,0.000170999,0.000822448,0.000807889,0.00274223,0,0,0.000171287,0.00057349,0.000823235,0,0.015688452,0.00027306,0,0.000100935,0.00020887,0.00030494,0.000663178,0.000817062,0.000817381,0,0,0,0,0,0,0,0,5.05E-05,5.05E-05,2.11E-05,0,0.002509723,0.001895782,0,0,0,0,0.00119653,0.000307795,0,0.237975813,0,0.000776871,0.014309951,0.00011031,0.001310212,0.00291868,0.000570846,0.00196281,0.000192641,0.040880574,0.001263082,0.000159761,0.000151749,0.000363545,0.000374936,0.00079763,0.000780172,0,0.053324641,0,0,0,0.000303615,0,0,0,0,0.002214875,0.001086012,0.000637892,0.005686623,0,0,5.95E-05,0.001082605,0,0,0,0,0,0,0,0,0,0.000419317,1.76E-05,0.000400552,0.000823226,0.000833623,0.000839423,0.00370264,0.017541557,0,0,0,0,0.000313574,0,0,0.000824497,0.000789843,0.000332615,0.00033263,0.00033263,0.000332628,0.000332628,0.000332617,0.000720644,0.000784054,0.000527182,0.000823099,0.000807855,0,0,0.014633358,0.363697366,0,0,0,0,0,9.36E-05,0.002122545,0,0,0.00521073,0,0,0
AP009378.1,0.092359119,0,0,0,0,0,0,0.019914721,0.0185362,0,0.001252702,0.001284861,5.23E-05,0,0.019407175,0.000335852,0,0.000335852,0.000586392,0.019440255,0.019340905,0,0.000564045,0,0.001186958,0.027922327,0.001004059,0.000784229,0.013704547,0.024283219,0,0,0.012880172,0.000336369,0.000336369,0,0,0.00230404,0.103973325,0.01905425,0.023504308,0.024449277,0,0.002418409,0.000822448,0.000807889,0,0,0,0.000440453,0.00057349,0.000823235,0,0.01424803,0.002785211,0,0.000100935,0.000382928,0.000271058,0.000663178,0.000817062,0.000817381,0,0,0,0,0,0,0,0,0.001161616,0.001161616,2.11E-05,0,0,0.003317618,0,0,0,4.82E-05,0.00152059,0.00361659,4.83E-05,0.082718752,0,0.000776871,0.017825969,0,0.001567116,0.003774155,0.001794088,0.00152376,0.001324408,0.026893931,0.000405991,0.000559165,0.001416323,0.001317852,0.001359141,0.00079763,0.000780172,0,0.05410691,0,0,0,0,0,0,0,0.000269333,0.00269637,0.000530939,0.000637892,0,0,0,0.000238173,0.000856013,0,0,0,0,0,0,0,0,0,0.000419317,0,0.000400552,0.000823226,0.000833623,0.000839423,0.003080213,0.019034804,0,0.000335891,0,0,0.000313574,0,0,0.000824497,0.000789843,0.000332615,0.00033263,0.00033263,0.000332628,0.000332628,0.000332617,0.000720644,0.000784054,0.000527182,0.000823099,0.000807855,0,0,0,0,0,0,0,0,0,9.36E-05,0,0,0,0.002202643,0,0,0
AP010953.1,0.306955822,0,0.379369875,0,0,0,0.036720143,0.222705069,0.20556086,0,0.052834545,0.087471343,0.063516127,0.008651495,0.21579669,0.011562912,0,0.011562912,0.000586392,0.209351433,0.224540074,0.001977938,0.050533279,0,0.012572065,0.557468655,0.006002991,0.000784229,0.112825794,0.077216376,0.087398019,0.000691156,0.189756214,0.011580692,0.011580692,0,0,0.007168125,0.337919134,0.476795955,0.410016004,0.407113793,0,0.006717803,0.000822448,0.000807889,0,0,0,0.013972154,0.00057349,0.000823235,0,0.192357086,0.046747856,0,0.000100935,0.00020887,0.00030494,0.000663178,0.000817062,0.000817381,0.001898477,2.04E-05,0,0,0,0,0,0,0.047070707,0.047070707,2.11E-05,0.002547771,0.107934714,0.008830352,0,0,0,0.071271903,0.056461262,0.035960705,0.070747544,0.297124397,0,0.000776871,0.067714096,0.00011031,0.042825947,0.012303744,0.021671764,0.032877066,0.034049316,0.041959929,0.002481054,0.04007349,0.058398037,0.061007475,0.05284248,0.00079763,0.000780172,0,0.096584094,0,0,0.000496339,0.0011494,0,0,0,0,0,0.001665219,0.000637892,0.119355657,0,0,0,0.002064503,0,0,0,0,0,0,0,0,0.016643071,0.000419317,0,0.000400552,0.000823226,0.000833623,0.000839423,0.068642472,0.233520946,0,0.058832649,0,0,0.000313574,0,0,0.000824497,0.000789843,0.000332615,0.00033263,0.00033263,0.000332628,0.000332628,0.000332617,0.000720644,0.000784054,0.000527182,0.000823099,0.000807855,0,0,0.001886437,0.375440362,0,0,0,0,0,9.36E-05,0.002148118,0,0,0.09086725,0,0,1
AP010958.1,0.388151786,0,0,0.00032783,0,0,0.024480095,0.238486547,0.142083429,0.00253558,0.012895461,0.052477767,0.009723457,0.000305623,0.224300591,0.010411419,2.49E-05,0.010411419,0.000586392,0.168560416,0.150023996,0.00404444,0.027561276,0,0.008090693,0.461949499,0.005084384,0.000784229,0.1927939,0.124802965,0.000848282,0.000793549,0.199666481,0.010427428,0.010427428,0,0,0.00542264,0.423448212,0.436470567,0.376602383,0.380086292,0,0.005496385,0.000822448,0.000807889,0.003629423,0,0,0.006680207,0.00057349,0.000823235,0,0.20731665,0.013762219,0,0.000100935,0.00020887,0.00030494,0.000663178,0.000817062,0.000817381,0.001898477,0,0,0,0,0,0,0,0.030277778,0.030277778,2.11E-05,0.005788356,0.05817239,0.004190676,0,0,0,0.008146738,0.029090637,0.019262831,0.047020203,0.382096023,0,0.000776871,0.038971257,0.00011031,0.008400771,0.008756039,0.016106014,0.007386364,0.01384608,0.133929977,0.000541321,0.014112259,0.03647032,0.019381518,0.010357595,0.00079763,0.000780172,0,0.073820078,0,0,0,0.001648197,0,0,0,0,0,0.09402452,0.000637892,0.066062067,0,0,0,0.086784662,0,0,0,0,0,0,0,0,0.47277187,0.000419317,0,0.000400552,0.000823226,0.000833623,0.000839423,0.070924702,0.172609573,0.000512825,0.034054208,0,0,0.000313574,0,0,0.000824497,0.000789843,0.000332615,0.00033263,0.00033263,0.000332628,0.000332628,0.000332617,0.000720644,0.000784054,0.000527182,0.000823099,0.000807855,0,0,0.009944215,0.366716994,0,0,0,0,0,9.36E-05,0.003222177,0,0,0.080149911,0,0,1
AP010960.1,0.12865485,0,0,0,0,0,0.035294118,0.823299734,0.689378725,0,0.023997838,0.060640415,0.009305243,0.002844649,0.827865374,0.004653952,0,0.004653952,0.000586392,0.725104743,0.70537514,4.92E-05,0.030663522,0,0.010222373,0.50567527,0.005063021,0.000784229,0.335105234,0.099241682,0.161872209,0.004505312,0.711125228,0.004661109,0.004661109,0,0,0.003141873,0.136431469,0.478774665,0.370896041,0.420811702,0,0.00285812,0.000822448,0.000807889,0,0,0,0.009983605,0.00057349,0.000823235,0,0.651938496,0.017721588,0,0.000100935,0.00020887,0.00030494,0.000663178,0.000817062,0.000817381,0.001898477,0,0,0,0,0,0,0,0.023030303,0.023030303,2.11E-05,0.003218237,0.495047037,0.005013844,0,0,0,0.022873533,0.038288962,0.027881089,0.054092544,0.118998534,0,0.000776871,0.035307713,0,0.026024406,0.008504428,0.015637105,0.008290289,0.013557118,0.135391604,0,0.01230163,0.038443056,0.03553657,0.025448751,0.00079763,0.000780172,0,0.035254237,0,0,0,0.000281928,0,0,0,0,0.002214875,0.014456029,0.000637892,0.093121089,0,0,0,0.036028097,0,0,0,0,0,0,0,0,0.061255062,0.000419317,0,0.000400552,0.000823226,0.000833623,0.000839423,0.212231479,0.719942239,0,0.038756686,0,0,0.000313574,0,0,0.000824497,0.000789843,0.000332615,0.00033263,0.00033263,0.000332628,0.000332628,0.000332617,0.000720644,0.000784054,0.000527182,0.000823099,0.000807855,0,0,0.0014822,0.283062126,0,0,0,0,0,9.36E-05,0.004014935,0,0,0.417631008,0,0,1
AP012030.1,0.046963663,0,0,0,0,0,0.024836601,0.006502099,0.001152339,0,0,0.001133701,0.000209107,0.000893361,0.007132831,0.000167926,0.007080529,0.000167926,0.000580469,0.006670018,0.006366981,0,0,0,0.000605591,0.006757937,0.000149541,0.000542927,0.006096447,0.013824394,0.010603528,0,0.006098626,0.000168184,0.000168184,0,0,0,0.052837756,0.004378813,0.003297716,0.004823208,0,0,0.000580552,0.000570274,0,0,0,0.000171287,0.000812445,0.000586333,0,0.00569227,0.000245754,0,0.000100935,0.000278493,0.00030494,0.000572745,0.00057675,0.000576975,0,0,0,0,0,0,0,0,0,0,2.11E-05,0,0.006947445,0.000424056,0,0,0,0,0,0.000230846,0.001689638,0.049584493,0,0.000537834,0,0.00011031,0.000231214,0.001258052,0.000163099,0.000232438,0,0.010096467,0.000112775,0.000159761,0,0.000204494,0.000210901,0.000557741,0.000540119,0,0.031134289,0,0.000132867,0,6.51E-05,0,0,0,0,0.004654447,0.041268462,0.000548468,0.028200575,0,0,0,0.081220575,0,0,0,0,0,0,0,0,3.29E-05,0.000329464,1.76E-05,0.000161417,0.000586326,0.000593732,0.000597862,0,0.006530907,0,0,0,0,0.000136079,0,0,0.000581998,0.000552296,0.000570197,0.000570224,0.000570224,0.00057022,0.00057022,0.0005702,0.000575304,0.000542806,0.000290247,0.000586236,0.000570251,0,0,0,0,0,0,0,0,0,0.000243262,0,0,0.000131404,0.005572358,0,0,0
